Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00506064,1,Melatonin Postoperative Sleep Study in Breast Cancer Patients,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Behavioral,Phase 1,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions,OTHER,,Single,United States,4-Feb,23-Jul-07,8-Sep,8-Sep,29-Mar-10,Terminated due to low accrual.,,2,4,Actual,40,Anticipated,FALSE,F,1,1,0,0.03,0,1,0,,2 - No Scientific Data
NCT00506662,1,Comparison of Insulin Detemir and NPH Insulin Given Once Daily in Ageing Subjects With Type 2 Diabetes,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 4,Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases|All Conditions,INDUSTRY,,Multiple,France|United Kingdom,7-Jul,24-Jul-07,8-Dec,8-Dec,19-Oct-10,See termination reason in detailed description,Novo Nordisk has decided to discontinue the trial as it will not be possible to recruit the required number of patients. The discontinuation is based on an analysis of the significant delay in recruitment of patients which is likely to have a negative impact on the validity of the trial.,2,86,Actual,286,,TRUE,,86,86,0,0.3,10,86,0,,2 - No Scientific Data
NCT00506675,1,Combined Patching-Atropine for Residual Amblyopia,Treatment,Parallel Assignment,Open Label,Randomized,Device|Drug|Device|Drug,Phase 3,Nervous System Diseases|Eye Diseases|Symptoms and General Pathology|All Conditions,OTHER,,Single,United States,7-Oct,20-Jul-07,9-Apr,9-Sep,14-Sep-10,Poor enrollment and infeasibility of ever reaching the necessary sample size,,2,55,Actual,240,Anticipated,TRUE,,55,55,55,0.23,0,55,1,21746992,2 - No Scientific Data
NCT00508157,1,A Phase 4 Study to Assess the Effects of Aripiprazole Versus Other Atypical Antipsychotics in the Treatment of Schizophrenic Patients With Metabolic Syndrome,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 4,Nutritional and Metabolic Diseases|All Conditions|Symptoms and General Pathology|Behaviors and Mental Disorders|Rare Diseases,INDUSTRY,,Multiple,Belgium|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|Czech Republic|France|France|France|France|France|France|France|France|Germany|Germany|Greece|Greece|Hungary|Hungary|Spain|Spain|Spain|Spain|Switzerland|Turkey,7-Nov,26-Jul-07,9-Mar,9-Mar,22-Jun-10,Slow Accrual,,2,125,Actual,258,Anticipated,FALSE,F,52,52,51,0.2,0,51,0,,2 - No Scientific Data
NCT00508651,1,"A Phase 1/2A Study to Evaluate the Safety, Immunogenicity, and Shedding of MEDI-560 in Infants 1 to < 12 Months of Age",Prevention,Parallel Assignment,Double Blind,Randomized,Biological|Biological,Phase 1|Phase 2,All Conditions|Viral Diseases|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,7-Oct,27-Jul-07,9-Apr,9-Apr,8-Sep-11,The study was closed prior to enrollment of Cohort 2 due to a non-safety related sponsor decision.,,8,30,Actual,190,Anticipated,TRUE,,30,30,28,0.16,1,28,1,21782874,2 - No Scientific Data
NCT00508872,1,Folfox-B Study for Patients With Colorectal Liver Metastases,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Symptoms and General Pathology|All Conditions|Digestive System Diseases|Rare Diseases,OTHER,,Single,United States,5-Nov,27-Jul-07,9-Jun,9-Jun,8-Oct-10,"Slow accrual, study terminated.",,2,2,Actual,42,Anticipated,TRUE,,2,2,0,0.05,0,0,0,,2 - No Scientific Data
NCT00509496,1,Phase II Study of Metastatic Melanoma With Lymphodepleting Conditioning and Anti-gp100:154-162 TCR Gene Engineered Lymphocytes,Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug|Biological|Biological|Biological,Phase 2,Cancers and Other Neoplasms|All Conditions|Skin and Connective Tissue Diseases|Rare Diseases,NIH,,Single,United States,7-Jun,30-Jul-07,11-Jul,12-Jul,31-Oct-12,Low accrual,,2,21,Actual,41,,TRUE,,21,21,21,0.51,5,21,0,,2 - No Scientific Data
NCT00509600,1,Etanercept (Enbrel) for Juvenile Myelomonocytic Leukemia,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Rare Diseases,OTHER,,Single,United States,4-Sep,27-Jul-07,9-Apr,9-Apr,31-Aug-09,Slow enrollment; study terminated.,,2,1,Actual,30,Anticipated,TRUE,,1,1,0,0.03,1,1,0,,2 - No Scientific Data
NCT00509925,1,Effect of Insulin Detemir on Use of Energy in Type 1 Diabetes,Treatment,Crossover Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 4,Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases|All Conditions|Immune System Diseases,INDUSTRY,,Single,United Kingdom,7-Jul,31-Jul-07,8-Jul,8-Jul,19-Apr-10,See detailed description,The study had been temporarily halted due to an unplanned interim analysis. The Sponsor is now aware that a further interim analysis has been performed by the site and therefore a decision has been made not to recommence the study,6,23,Actual,30,,TRUE,,23,23,42,0.77,0,46,1,21593292,1 - Scientific Data
NCT00511134,1,Study of Lunesta Versus Placebo for Sleep Problems Related to Smoking Cessation and Zyban,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 4,Nervous System Diseases|Symptoms and General Pathology|Behaviors and Mental Disorders|All Conditions|Substance Related Disorders,OTHER,,Single,United States,7-Apr,1-Aug-07,8-Dec,8-Dec,28-Sep-09,Study has been terminated due low recruitment of participant population.,,2,4,Actual,40,Anticipated,TRUE,,4,4,2,0.1,0,4,0,,2 - No Scientific Data
NCT00512148,1,Study of Autologous Neo-Bladder Construct in Subjects With Neurogenic Bladder Following Spinal Cord Injury,Treatment,Single Group Assignment,Open Label,Non-Randomized,Other,Phase 2,"Nervous System Diseases|Wounds and Injuries|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Symptoms and General Pathology",INDUSTRY,,Single,United States,7-Jul,3-Aug-07,10-Jan,11-Apr,20-Dec-10,24 months of longterm follow up have been completed without substantial change to the profile. No further studies are currently planned,,6,7,Actual,10,Anticipated,TRUE,,7,7,7,0.7,4,7,0,,1 - Scientific Data
NCT00512798,0,Bortezomib and Temozolomide in Treating Patients With Advanced Refractory Solid Tumors or Melanoma,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug|Other|Drug|Drug,Phase 1|Phase 2,Cancers and Other Neoplasms|Nervous System Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,3-Jun,6-Aug-07,6-Jul,8-Mar,27-Jun-12,This study was terminated due to lack of efficacy,,6,47,Actual,93,,TRUE,,47,47,28,0.51,10,47,1,20028756,1 - Scientific Data
NCT00513305,1,Cytarabine in Combination With Arsenic Trioxide vs. Cytarabine Alone in Elderly Patients With Acute Myeloid Leukemia,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 3,Cancers and Other Neoplasms|All Conditions|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada,7-Oct,6-Aug-07,9-Jul,9-Dec,29-Jul-10,Study has been stopped by sponsor decision,,8,67,Actual,210,Anticipated,TRUE,,67,67,67,0.32,40,66,0,,2 - No Scientific Data
NCT00514813,1,Dynepo Long-Term Safety Study,,Single Group Assignment,Open Label,Randomized,Drug,Phase 4,"Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions|Blood and Lymph Conditions",INDUSTRY,,Single,Belgium,7-Jun,9-Aug-07,8-Jul,8-Jul,18-Aug-09,The termination of the study is not linked to a product recall or result of any safety signal. Rather it was sponsor's commercial decision to withdraw the MA,,8,152,Actual,416,Anticipated,TRUE,,152,152,0,0.37,22,150,0,,2 - No Scientific Data
NCT00515086,0,Study of Everolimus (RAD001) in Patients With Recurrent Glioblastoma Multiforme (GBM),Treatment,Parallel Assignment,Open Label,Randomized,Drug|Procedure,Phase 2,Cancers and Other Neoplasms|All Conditions|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States,7-Aug,10-Aug-07,9-Aug,9-Aug,15-Dec-10,Early termination due to slow enrollment and protocol-defined stopping rule.,,2,41,Actual,41,Actual,TRUE,,41,41,24,1,10,41,0,,2 - No Scientific Data
NCT00517192,1,Comparison of TPV/r to DRV/r in Triple Class Experienced Patient With Resistance to > 1 PI,Treatment,Parallel Assignment,,,Drug|Drug|Drug,Phase 4,"Viral Diseases|Immune System Diseases|All Conditions|Symptoms and General Pathology|Bacterial and Fungal Diseases|Urinary Tract, Sexual Organs, and Pregnancy Conditions",INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|Bahamas|Belgium|Belgium|Belgium|Belgium|Canada|Canada|Canada|Canada|Canada|France|France|France|France|France|France|France|Germany|Germany|Germany|Greece|Greece|Greece|Italy|Italy|Italy|Italy|Italy|Italy|Portugal|Portugal|Portugal|Puerto Rico|Spain|Spain|Spain|Spain|Spain|Spain|Thailand|Thailand|Thailand|Thailand|Thailand|Thailand,7-Sep,15-Aug-07,8-Sep,,18-Sep-09,,,9,40,Actual,800,,FALSE,F,39,39,0,0.05,2,39,1,22007990,3 - No Reason Provided
NCT00518284,1,Prevention of Restenosis Following Revascularization,Prevention,Parallel Assignment,Open Label,Randomized,Drug,Phase 2,Heart and Blood Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States,8-Jan,16-Aug-07,9-Aug,9-Sep,21-Feb-12,"Study was terminated due to changing sponsor priorities, and was not based on safety or outcomes data.",,8,6,Actual,228,Anticipated,TRUE,,6,6,0,0.03,1,6,0,,2 - No Scientific Data
NCT00518687,1,"Efficacy, Immunogenicity, and Safety of a Single Dose of V710 in Adult Patients Scheduled for Cardiothoracic Surgery (V710-003 AM2)",Prevention,Parallel Assignment,Double Blind,Randomized,Biological|Biological,Phase 2|Phase 3,Bacterial and Fungal Diseases|Symptoms and General Pathology|All Conditions|Respiratory Tract (Lung and Bronchial) Diseases,INDUSTRY,,,,7-Dec,17-Aug-07,11-Aug,11-Aug,2-Oct-12,,,9,8031,Actual,76,Anticipated,FALSE,E,8010,8031,7925,105.67,565,7925,1,23549582,3 - No Reason Provided
NCT00519090,1,Nilotinib vs Imatinib in Adult Patients With Philadelphia (Ph+) Chronic Myelogenous Leukemia in Chronic Phase (CML-CP),Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 3,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,Multiple,"United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Belgium|Belgium|Belgium|Brazil|Brazil|Brazil|Czech Republic|Czech Republic|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Italy|Italy|Italy|Italy|Italy|Italy|Japan|Japan|Japan|Korea, Republic of|Korea, Republic of|Spain|Spain|Spain|Spain|Spain",7-Oct,17-Aug-07,8-Oct,8-Oct,11-Nov-10,This study was terminated due to limited enrollment.,,2,6,Actual,586,Anticipated,TRUE,,6,6,0,0.01,0,6,0,,2 - No Scientific Data
NCT00519532,1,Long-term Extension of RECOVER- Long-term Effect of the 24h Transdermal Delivery of Rotigotine in Subjects With Idiopathic Parkinson's Disease,Treatment,Single Group Assignment,Open Label,,Drug,Phase 3,Nervous System Diseases|All Conditions|Cancers and Other Neoplasms|Skin and Connective Tissue Diseases,INDUSTRY,,Multiple,United States|United States|Australia|Finland|Germany|Germany|Germany|Germany|Germany|Germany|Hungary|Hungary|Italy|Italy|New Zealand|Poland|South Africa|Spain|Spain|United Kingdom|United Kingdom,7-Jul,21-Aug-07,9-May,9-May,17-Mar-10,Due to clinical trial supplies shortage,,4,84,Actual,270,Anticipated,TRUE,,84,84,78,0.31,16,84,1,21322021,2 - No Scientific Data
NCT00521924,1,Induction of Remission in RA Patients at Low Disease Activity by Additional Infliximab Therapy (Study P04644AM1) (TERMINATED),Treatment,Parallel Assignment,Open Label,Randomized,Biological|Drug,Phase 3,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases|Immune System Diseases",INDUSTRY,,,,7-Jun,27-Aug-07,10-Sep,10-Sep,3-Apr-09,Slow Enrollment,,2,8,Actual,160,Anticipated,TRUE,,8,8,0,0.05,0,8,0,,2 - No Scientific Data
NCT00522418,1,Study Comparing Best Medical Practice With or Without VNS Therapy in Pharmacoresistant Partial Epilepsy Patients,Treatment,Parallel Assignment,Open Label,Randomized,Device|Drug,Phase 4,Nervous System Diseases|All Conditions,INDUSTRY,,Multiple,Belgium|Belgium|Canada|Canada|Canada|Canada|France|France|France|France|France|France|France|Germany|Germany|Germany|Germany|Germany|Germany|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Netherlands|Netherlands|Netherlands|Netherlands|Netherlands|Norway|Spain|Spain|Spain|Spain|Spain|Sweden|Sweden|Sweden|Sweden|United Kingdom|United Kingdom|United Kingdom|United Kingdom,6-Feb,27-Aug-07,8-Jul,8-Jul,2-Apr-10,Insufficient enrollment,,2,122,Actual,362,Anticipated,TRUE,,122,122,0,0.34,8,122,0,,2 - No Scientific Data
NCT00522457,1,Phase II Study With the Trifunctional Antibody Ertumaxomab to Treat Metastatic Breast Cancer After Progression on Trastuzumab Therapy,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,Multiple,United States|United States|United States|Canada|Canada,8-Jan,28-Aug-07,9-Dec,9-Dec,1-Mar-11,"change in development plan, not due to safety concerns.",,8,19,Actual,40,Anticipated,TRUE,,19,19,0,0.48,11,19,0,,2 - No Scientific Data
NCT00523367,1,"COPD Patients Diagnosed With GERD,COPD Exacerbations After Treatment With High Dose PPI",Treatment,Single Group Assignment,Open Label,,Procedure,,"Digestive System Diseases|All Conditions|Respiratory Tract (Lung and Bronchial) Diseases|Ear, Nose, and Throat Diseases",OTHER,,Single,United States,7-Aug,30-Aug-07,10-Oct,10-Oct,8-Mar-12,terminated due to enrollment,,2,25,Actual,20,Anticipated,TRUE,,25,25,2,1.25,0,25,0,,2 - No Scientific Data
NCT00523640,1,"A Phase II Trial of Gemcitabine, Capecitabine, and Bevacizumab in Metastatic Renal Cell Carcinoma",Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,"Cancers and Other Neoplasms|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",OTHER,,Single,United States,5-Mar,30-Aug-07,11-Apr,11-Apr,15-Aug-11,Too slow accrual,,2,30,Actual,55,Anticipated,TRUE,,30,30,29,0.55,5,29,1,20395787,2 - No Scientific Data
NCT00523809,1,Allogeneic Hematopoietic Stem Cell Transplantation With Bevacizumab for Advanced Solid Tumor,Treatment,Single Group Assignment,Open Label,,Drug|Procedure|Drug|Drug|Drug,Phase 2,"Cancers and Other Neoplasms|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Gland and Hormone Related Diseases|All Conditions|Skin and Connective Tissue Diseases|Rare Diseases",OTHER,,Single,United States,7-Aug,31-Aug-07,11-Oct,11-Oct,21-Dec-12,Slow accrual.,,2,5,Actual,18,Anticipated,TRUE,,5,5,0,0.28,4,5,0,,2 - No Scientific Data
NCT00523939,1,DepoCyt for Active Lymphomatous or Leukemic Meningitis,Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Immune System Diseases|Nervous System Diseases|Rare Diseases,OTHER,,Single,United States,6-Jun,31-Aug-07,9-Jun,9-Jun,16-Feb-11,Low accrual.,,2,4,Actual,40,Anticipated,TRUE,,4,4,0,0.1,3,4,0,,2 - No Scientific Data
NCT00524030,1,Efficacy And Safety Study Of Pregabalin (Lyrica) As Monotherapy In Patients With Partial Seizures,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Nervous System Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Czech Republic|Czech Republic|Czech Republic|Hong Kong|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine,7-Sep,30-Aug-07,11-Apr,11-Jun,11-Apr-12,See termination reason in detailed description.,"After review of the interim analysis results, the independent Data Monitoring Committee (DMC) recommended to stop the study based on positive efficacy findings for the primary efficacy endpoint according to pre-specified stopping rules. Pfizer accepted the DMC recommendation and made the decision to stop the study on September 7, 2011.",6,161,Actual,250,,TRUE,,161,161,102,0.64,18,161,0,,1 - Scientific Data
NCT00527397,1,"Long-Term Safety Study Of Inhaled Insulin (CP-464,005, Inhaler) In Japanese Patients With Type1 or Type2 Diabetes",Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug|Drug,Phase 3,Respiratory Tract (Lung and Bronchial) Diseases|Symptoms and General Pathology|All Conditions|Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases|Immune System Diseases,INDUSTRY,,Multiple,Japan|Japan|Japan|Japan|Japan|Japan|Japan|Japan|Japan|Japan,7-Aug,7-Sep-07,8-Jul,8-Jul,15-Jul-09,See termination reason in detailed description.,"Pfizer announced in October 2007 that it would stop marketing CP-464,005. At that time recruitment for study, A2171105 was placed on hold. Nektar, the company from which Pfizer licensed CP-464,005, announced on April 9, 2008 that it had stopped its search for a new marketing partner. As a result, study A2171105 was terminated on April 10, 2008. Neither safety nor efficacy reasons were the cause of the study termination.",16,24,Actual,189,,TRUE,,24,24,0,0.13,3,,0,,2 - No Scientific Data
NCT00527878,1,Effect of Ranitidine on Hyper-IgE Recurrent Infection (Job's) Syndrome,Treatment,Crossover Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Nervous System Diseases|Symptoms and General Pathology|All Conditions|Blood and Lymph Conditions|Immune System Diseases|Rare Diseases,NIH,,Single,United States,7-Sep,8-Sep-07,11-Jun,11-Jun,1-Feb-13,Failure to enroll adequate patient numbers due to small number of eligible patients,,2,16,Actual,30,,FALSE,F,14,14,18,0.47,8,23,0,,2 - No Scientific Data
NCT00527982,1,Celecoxib as Adjuvant Biologic Therapy in Patients With Head and Neck and Lung Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Respiratory Tract (Lung and Bronchial) Diseases,OTHER,,Single,United States,5-Sep,10-Sep-07,8-Sep,8-Sep,6-Jan-11,Termination due to poor accrual.,,2,1,Actual,70,Anticipated,TRUE,,1,1,0,0.01,0,1,0,,2 - No Scientific Data
NCT00529282,1,A Study of Ceftobiprole in Patients With Fever and Neutropenia.,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Bacterial and Fungal Diseases|All Conditions|Blood and Lymph Conditions|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,,,7-Oct,11-Sep-07,8-Jan,8-Jan,26-Jan-10,Study discontinued due to administrative reasons unrelated to safety,,4,2,Actual,342,,TRUE,,2,2,0,0.01,2,2,0,,2 - No Scientific Data
NCT00530270,1,Dexamethasone to Treat Acute Chest Syndrome in People With Sickle Cell Disease,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Respiratory Tract (Lung and Bronchial) Diseases|Blood and Lymph Conditions|Diseases and Abnormalities at or before Birth|All Conditions|Symptoms and General Pathology|Rare Diseases,NIH,,Multiple,United States|United States|United States|United States|United States|United States,6-Dec,14-Sep-07,8-Jun,8-Nov,16-Jul-09,"Study was closed June 23, 2008 due to low enrollment.",,2,12,Actual,112,Anticipated,TRUE,,12,12,11,0.11,1,12,1,21848879,2 - No Scientific Data
NCT00532883,1,Hydroxyurea and Magnesium Pidolate to Treat People With Hemoglobin Sickle Cell Disease,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Other,Phase 2,Respiratory Tract (Lung and Bronchial) Diseases|Blood and Lymph Conditions|Diseases and Abnormalities at or before Birth|All Conditions|Nervous System Diseases|Symptoms and General Pathology|Rare Diseases,OTHER,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,7-Jan,20-Sep-07,9-Mar,9-Aug,1-Apr-10,Enrollment has been terminated due to a slow rate of enrollment.,,2,44,Actual,188,Anticipated,TRUE,,44,44,44,0.23,10,44,1,21275961,2 - No Scientific Data
NCT00533351,1,Safety and Efficacy of AGN201781 in Neuropathic Pain,Treatment,Crossover Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Nervous System Diseases|Symptoms and General Pathology|All Conditions,INDUSTRY,,Multiple,Australia|Germany,8-Mar,19-Sep-07,8-Jun,8-Jun,15-Dec-11,This study was terminated early due to low enrollment.,,2,9,Actual,40,Anticipated,TRUE,,9,9,0,0.23,0,9,0,,2 - No Scientific Data
NCT00534313,1,Safety and Efficacy of Abatacept Versus Placebo in Participants With Psoriatic Arthritis,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases|Bacterial and Fungal Diseases|Rare Diseases",INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Argentina|Australia|Australia|Australia|Belgium|Belgium|Canada|Canada|Canada|Canada|France|France|France|Germany|Germany|Germany|Italy|Italy|Italy|Netherlands|Norway|South Africa|Spain,7-Nov,20-Sep-07,8-Dec,11-May,29-Oct-10,Lack of efficacy with respect to skin-related lesions in the short-term phase,,6,191,Actual,220,Anticipated,FALSE,F,170,170,170,0.77,28,317,1,21128258,1 - Scientific Data
NCT00537199,1,OraTest in Combination With Visual Examination and Visual Examination Alone,Treatment,Single Group Assignment,Open Label,,Other|Drug,Phase 3,"Cancers and Other Neoplasms|All Conditions|Mouth and Tooth Diseases|Ear, Nose, and Throat Diseases|Rare Diseases",OTHER,,Single,United States,7-Feb,26-Sep-07,8-Dec,8-Dec,11-Dec-09,"Study terminated early as per request by sponsor, Zila Biotechnology, Inc.",,8,1,Actual,4000,Anticipated,TRUE,,1,1,0,0,0,0,0,,2 - No Scientific Data
NCT00537316,1,Efficacy & Safety of Infliximab Monotherapy Vs Combination Therapy Vs AZA Monotherapy in Ulcerative Colitis (Part 1) Maintenance Vs Intermittent Therapy for Maintaining Remission (Part 2)(Study P04807AM3)(TERMINATED),Treatment,Parallel Assignment,Double Blind,Randomized,Biological|Drug|Drug|Drug,Phase 3,Digestive System Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,,,7-Jul,28-Sep-07,10-Feb,10-Feb,11-Nov-11,"Infusion reactions during re-induction cycles after a period of no treatment in another study [P04563, NCT0358670]",,7,242,Actual,600,Anticipated,FALSE,E,239,242,231,0.4,22,553,0,,2 - No Scientific Data
NCT00539617,1,Chemotherapy & Erlotinib in Treating Patients w/ Esophageal or Gastroesophageal Cancer That Cannot Be Removed by Surgery,Treatment,Single Group Assignment,Open Label,,Drug|Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Digestive System Diseases|All Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,7-Oct,2-Oct-07,11-May,11-May,12-Sep-12,For slow accrual,,2,7,Actual,25,Anticipated,TRUE,,7,7,4,0.28,4,4,0,,2 - No Scientific Data
NCT00539942,1,Study of Arixtra to Prevent Blood Clots in Women Undergoing Abdominopelvic Surgery for Likely Gynecologic Malignancy,Prevention,Parallel Assignment,Open Label,Randomized,Drug,Phase 3,Heart and Blood Diseases|All Conditions|Symptoms and General Pathology,OTHER,,Single,United States,7-Apr,3-Oct-07,10-Jun,10-Jun,7-Feb-12,Problems with accrual,,2,7,Actual,280,Anticipated,TRUE,,7,7,0,0.03,2,7,0,,2 - No Scientific Data
NCT00542269,1,Efficacy and Safety of Aliskiren/Ramipril/Amlodipine Compared With Ramipril/Amlodipine and Aliskiren/Amlodipine in Patients With Metabolic Syndrome,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 4,Heart and Blood Diseases|All Conditions|Nutritional and Metabolic Diseases|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,Single,United Kingdom,8-Mar,9-Oct-07,9-Jul,9-Jul,6-Jan-11,Early termination of the study due to slow recruitment.,,2,178,Actual,846,Anticipated,TRUE,,178,178,118,0.21,7,178,0,,2 - No Scientific Data
NCT00542828,1,Rabbit Anti-thymocyte Globulin in the Treatment of Patients With Low to Intermediate-1 Risk Myelodysplastic Syndrome,Treatment,Single Group Assignment,Open Label,Non-Randomized,Biological,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|All Conditions|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,Multiple,France|Germany|Germany|Netherlands|United Kingdom|United Kingdom|United Kingdom,7-Oct,10-Oct-07,9-May,9-Jul,7-Apr-10,Study terminated due to slow enrollment.,,2,16,Actual,43,Anticipated,TRUE,,16,16,13,0.37,7,14,0,,2 - No Scientific Data
NCT00544674,1,PR104 in Treating Patients With Previously Untreated or Relapsed Small Cell Lung Cancer,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Other,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,7-Aug,13-Oct-07,8-Jul,9-Jan,13-Jun-11,Terminated early due to discovery of new mechanism of activation.,,7,5,Actual,75,,TRUE,,5,5,4,0.07,2,4,0,,2 - No Scientific Data
